row_key,test_id,test_path,status,notes
task_has_one_durable_state_at_a_time,task_state_supports_scenario_a_transitions,crates/sharo-core/tests/runtime_types_tests.rs,implemented,
step_ends_explicitly,step_terminal_state_is_explicit,crates/sharo-core/tests/runtime_types_tests.rs,implemented,
policy_checked_before_restricted_execution,scenario_b_pending_approval_survives_restart_and_can_be_resolved,crates/sharo-daemon/tests/scenario_a.rs,implemented,
denied_step_does_not_execute,resolve_approval,crates/sharo-daemon/src/store.rs,implemented,verified by denied branch in resolver logic
route_decision_always_recorded,scenario_a_read_task_succeeds_with_verification_artifact,crates/sharo-daemon/tests/scenario_a.rs,implemented,
exact_trace_persists_before_derived_memory,scenario_a_read_task_succeeds_with_verification_artifact,crates/sharo-daemon/tests/scenario_a.rs,implemented,
policy_decision_and_approval_persist_as_exact_records,scenario_b_pending_approval_survives_restart_and_can_be_resolved,crates/sharo-daemon/tests/scenario_a.rs,implemented,
artifact_provenance_is_queryable,scenario_a_read_task_succeeds_with_verification_artifact,crates/sharo-daemon/tests/scenario_a.rs,implemented,
coordination_records_persist_when_overlap_is_detected,scenario_c_overlap_visibility_survives_restart,crates/sharo-daemon/tests/scenario_a.rs,implemented,
overlap_is_visible_without_dedicated_coordination_commands,cli_scenario_c_overlap_is_visible_in_task_output,crates/sharo-cli/tests/scenario_a_cli.rs,implemented,
recovery_preserves_visible_uncertainty_for_incomplete_overlap_state,scenario_c_overlap_visibility_survives_restart,crates/sharo-daemon/tests/scenario_a.rs,implemented,
approval_is_restart_safe,scenario_b_pending_approval_survives_restart_and_can_be_resolved,crates/sharo-daemon/tests/scenario_a.rs,implemented,
restart_restores_durable_task_state,scenario_b_pending_approval_survives_restart_and_can_be_resolved,crates/sharo-daemon/tests/scenario_a.rs,implemented,
cli_can_inspect_blocking_reason,cli_scenario_b_approval_commands,crates/sharo-cli/tests/scenario_a_cli.rs,implemented,
capability_manifest_required,invalid_manifest_is_blocked_with_explicit_reason,crates/sharo-daemon/tests/scenario_a.rs,implemented,
binding_can_remain_opaque,binding_visibility_redacts_non_model_values,crates/sharo-core/tests/runtime_types_tests.rs,implemented,engine_only and approval_gated bindings keep handle while raw model text stays absent
verification_and_observability_artifacts_are_first_class,scenario_a_read_task_succeeds_with_verification_artifact,crates/sharo-daemon/tests/scenario_a.rs,implemented,
